season_year,game_id,home_team_id,away_team_id,home_points_final,away_points_final,lead_changes,times_tied,events_count,has_lineups,has_stats
2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,f073a15f-0486-4179-b0a3-dfd0294eb595,86,94,6,7,412,1,1
2025,01384c8c-e038-4abe-b80a-901c44d112ce,f073a15f-0486-4179-b0a3-dfd0294eb595,171b097d-01db-4ae8-9d56-035689402ec6,81,54,0,0,388,1,1
2025,0141c94b-0923-4c3f-8e2f-50513198e128,6f017f37-be96-4bdc-b6d3-0a0429c72e89,171b097d-01db-4ae8-9d56-035689402ec6,109,78,6,3,417,1,1
2025,02291b17-b5ee-4973-b184-51149f2c1817,0699edf3-5993-4182-b9b4-ec935cbd4fcc,08ed8274-e29f-4248-bc2e-83cc8ed18d75,106,91,1,1,380,1,1
2025,0293e78b-c940-41cf-a0cd-7e8477e22e8c,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,89,63,8,6,347,1,1
2025,03c66dd6-d190-41d7-bb90-7709c8c6493b,f073a15f-0486-4179-b0a3-dfd0294eb595,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,75,85,4,4,425,1,1
2025,042c5181-7425-497a-8593-922c0cccfc16,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,a015b02d-845c-40c1-8ef4-844984f47e4d,102,91,12,6,400,1,1
2025,066fe1b5-ac89-4da1-be0d-7a9f9c1ee193,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,a015b02d-845c-40c1-8ef4-844984f47e4d,87,62,6,4,356,1,1
2025,076e0d71-c610-4e6f-9814-6099bc1f606b,5f0b5caf-708b-4300-92f2-53b51d83ec06,08ed8274-e29f-4248-bc2e-83cc8ed18d75,77,88,2,0,398,1,1
2025,07de9590-90f6-48b8-87d9-f4870dd9e369,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0699edf3-5993-4182-b9b4-ec935cbd4fcc,84,92,2,2,371,1,1
2025,0934f4d6-98dc-4543-b6bd-c04adfa95bf2,0699edf3-5993-4182-b9b4-ec935cbd4fcc,f073a15f-0486-4179-b0a3-dfd0294eb595,95,60,0,0,419,1,1
2025,0962940f-0261-4fce-b716-3a16393d43b7,5f0b5caf-708b-4300-92f2-53b51d83ec06,4f57ec40-0d35-4b59-bea0-9d040f0d2292,81,90,8,7,377,1,1
2025,0976f7b8-1f32-4781-a1a1-c00605e4456c,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,3c409388-ab73-4c7f-953d-3a71062240f6,103,86,4,2,412,1,1
2025,0b629654-f5ce-4ac6-af48-0c1db944c24c,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,99,83,1,0,402,1,1
2025,0dba890c-bbe9-4bd1-bfce-2ccaff13d596,3c409388-ab73-4c7f-953d-3a71062240f6,4f57ec40-0d35-4b59-bea0-9d040f0d2292,59,90,9,3,345,1,1
2025,10082fe6-4d1c-4a6a-997d-061623f03559,4f57ec40-0d35-4b59-bea0-9d040f0d2292,a015b02d-845c-40c1-8ef4-844984f47e4d,87,63,6,5,447,1,1
2025,10582ee6-a493-4e18-9878-6203b5e8065d,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,0699edf3-5993-4182-b9b4-ec935cbd4fcc,77,70,8,7,358,1,1
2025,113aaa30-c901-4aa5-bbaa-16445f830e85,5f0b5caf-708b-4300-92f2-53b51d83ec06,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,68,55,3,5,390,1,1
2025,1146f4af-8af9-4447-97da-96ce6b61a481,5f0b5caf-708b-4300-92f2-53b51d83ec06,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,60,95,1,1,390,1,1
2025,127815af-ec83-4409-b0c3-4140a357a60c,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,94,90,9,12,446,1,1
2025,1294e522-7385-45d7-852f-76da7cf5ab3d,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,82,66,10,3,378,1,1
2025,17812353-7592-47dc-9fe1-36f6bb0d8b9d,0699edf3-5993-4182-b9b4-ec935cbd4fcc,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,79,90,1,3,378,1,1
2025,17a0db49-b39b-430e-91c7-d573aca6eb9e,5f0b5caf-708b-4300-92f2-53b51d83ec06,08ed8274-e29f-4248-bc2e-83cc8ed18d75,92,82,0,0,388,1,1
2025,185c1d82-80ca-427a-bb34-b717e2127e2e,f073a15f-0486-4179-b0a3-dfd0294eb595,0699edf3-5993-4182-b9b4-ec935cbd4fcc,107,101,5,7,472,1,1
2025,186e6409-ec2d-4ab0-ae28-17589c92364e,3c409388-ab73-4c7f-953d-3a71062240f6,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,65,86,1,1,364,1,1
2025,1a0df56d-9b5f-4e53-9d8a-8b754f489bef,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,171b097d-01db-4ae8-9d56-035689402ec6,75,103,2,1,361,1,1
2025,1a3627a5-02d8-49f1-8015-8b258b6af8d6,171b097d-01db-4ae8-9d56-035689402ec6,6f017f37-be96-4bdc-b6d3-0a0429c72e89,58,111,1,0,358,1,1
2025,1af6c1e1-fa3c-4263-8c71-da93fc3e0406,f073a15f-0486-4179-b0a3-dfd0294eb595,08ed8274-e29f-4248-bc2e-83cc8ed18d75,88,90,14,15,419,1,1
2025,1afa397b-1c35-4439-9ccf-dfb9fe66edfd,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,79,72,5,4,411,1,1
2025,1bfb21d0-94d4-414b-872a-8caa5df09a89,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,6f017f37-be96-4bdc-b6d3-0a0429c72e89,75,73,3,3,379,1,1
2025,1c528f37-bdd0-449a-99b5-7a8d174e4243,4f57ec40-0d35-4b59-bea0-9d040f0d2292,08ed8274-e29f-4248-bc2e-83cc8ed18d75,78,81,16,7,391,1,1
2025,1cf9c10b-f66e-464f-8cf5-6cb1f3ea43c6,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,08ed8274-e29f-4248-bc2e-83cc8ed18d75,76,84,6,4,358,1,1
2025,1d299098-034f-480d-af99-bcebd640859e,f073a15f-0486-4179-b0a3-dfd0294eb595,a015b02d-845c-40c1-8ef4-844984f47e4d,83,85,5,5,365,1,1
2025,1dc8a33e-b81b-4a0d-91bf-0109943d729e,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,a015b02d-845c-40c1-8ef4-844984f47e4d,92,88,5,10,383,1,1
2025,1dffe97b-d132-4697-af9f-8b08902da90d,3c409388-ab73-4c7f-953d-3a71062240f6,0699edf3-5993-4182-b9b4-ec935cbd4fcc,67,83,3,4,384,1,1
2025,1ecad64f-deda-4055-95e7-198f2df3fa68,a015b02d-845c-40c1-8ef4-844984f47e4d,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,72,88,3,0,381,1,1
2025,1f15d85b-41ea-4e16-b597-b0e14ee9ba73,08ed8274-e29f-4248-bc2e-83cc8ed18d75,f073a15f-0486-4179-b0a3-dfd0294eb595,98,77,1,1,378,1,1
2025,1fbd18c4-cdc0-447c-b339-e189c095c217,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,104,85,2,3,365,1,1
2025,211705ef-50b5-48b3-8486-1e18374bada4,a015b02d-845c-40c1-8ef4-844984f47e4d,f073a15f-0486-4179-b0a3-dfd0294eb595,93,99,2,5,463,1,1
2025,21815dfe-7533-4983-9fc4-01b7e5798634,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,79,80,25,9,365,1,1
2025,229cd339-d841-43e9-8caf-50acf5713440,a015b02d-845c-40c1-8ef4-844984f47e4d,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,76,93,9,9,377,1,1
2025,25596e43-21b0-4411-b093-a5ca0b6480d6,171b097d-01db-4ae8-9d56-035689402ec6,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,90,86,6,4,380,1,1
2025,26dc7ac4-cdfa-4270-bdb1-394c4e513476,6f017f37-be96-4bdc-b6d3-0a0429c72e89,4f57ec40-0d35-4b59-bea0-9d040f0d2292,72,53,1,3,375,1,1
2025,272d53ae-a46b-43bc-ac0f-8a846e03a9d1,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0699edf3-5993-4182-b9b4-ec935cbd4fcc,88,65,1,1,350,1,1
2025,27345b01-bece-490a-b228-52c863c0e525,4f57ec40-0d35-4b59-bea0-9d040f0d2292,3c409388-ab73-4c7f-953d-3a71062240f6,83,78,8,7,420,1,1
2025,274b94f6-f288-4d46-bf2c-1b3ffaddacdf,5f0b5caf-708b-4300-92f2-53b51d83ec06,6f017f37-be96-4bdc-b6d3-0a0429c72e89,65,81,1,2,373,1,1
2025,293a4a3d-3699-4cd3-b085-0dc0e8c56188,4f57ec40-0d35-4b59-bea0-9d040f0d2292,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,67,84,5,7,365,1,1
2025,29b79cdd-02fe-4814-a965-ee95a23a8475,6f017f37-be96-4bdc-b6d3-0a0429c72e89,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,80,76,11,3,355,1,1
2025,2cc91c72-9797-403a-adc1-51f134d84117,4f57ec40-0d35-4b59-bea0-9d040f0d2292,0699edf3-5993-4182-b9b4-ec935cbd4fcc,91,98,8,2,406,1,1
